run_id,condition,success,exp_stage,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,conditionmyown,cen_signal_contrast_stim,view_history,rt,response,stimulus,correct_response,correct_response_in_clockwise_or_counterclockwise,correct,slider_start,ctx_signal_contrast,cen_angle_in_degree,cen_signal_contrast_catchStim,confidence,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
16,3,true,pre-exp,fullscreen_starts,fullscreen,0,8428,0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"""","""","""","""","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructionspage1,instructions,1,40685,0.0-1.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"[{""page_index"":0,""viewing_time"":32253.700000047684}]",32254,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructions_block2,canvas-button-response,2,66878,0.0-2.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"""",26098.099999904633,1,instructionStim1,1,Clockwise,true,"""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructions_block3,canvas-button-response,3,71029,0.0-3.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"""",4069.2000000476837,0,instructionStim2,0,Counter-clockwise,true,"""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructions_block4,html-slider-response,4,87365,0.0-4.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"""",16334.399999856949,59,"<div id=""message-div""><p>After you have made your clockwise/counter-clockwise choice, <br>you will be asked to rate how confident you are that you were correct in your clockwise/counter-clockwise choice using a slide bar.<br>Please try to use the entire range of the slider bar.<br>For example, feel free to move the slider to the leftmost location if you are extremely uncertain about your choice, and the rightmost location if you are extremely certain.</p></div>","""","""","""",50,"""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructionspage5,instructions,5,93037,0.0-5.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"[{""page_index"":0,""viewing_time"":5668.399999856949}]",5668.599999904633,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructionspage6,instructions,6,94901,0.0-6.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"[{""page_index"":0,""viewing_time"":1863}]",1863.2999999523163,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructionspage7,instructions,7,101180,0.0-7.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"[{""page_index"":0,""viewing_time"":6278.400000095367}]",6278.599999904633,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",pre-exp,instructionspage8,instructions,8,105596,0.0-8.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"[{""page_index"":0,""viewing_time"":4414.899999856949}]",4415.099999904633,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
16,3,"""",practice_procedure,fixation,html-keyboard-response,9,106099,0.0-9.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A2196WCNDZULFS,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,AGXI4,AGXI4,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,3IXQG4FA22ZT50U3ADA9JW2JRNC9B9,338054,338054,3,0.06,"""",null,null,"<div class = fixationbox><div class = fixation>+</div></div>","""","""","""","""","""","""","""","""","2021-12-31 03:31:58",67.158.16.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
