run_id,condition,success,exp_stage,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,conditionmyown,cen_signal_contrast_stim,view_history,rt,response,stimulus,correct_response,correct_response_in_clockwise_or_counterclockwise,correct,slider_start,ctx_signal_contrast,cen_angle_in_degree,cen_signal_contrast_catchStim,confidence,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
17,2,true,pre-exp,fullscreen_starts,fullscreen,0,50520,0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"""","""","""","""","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructionspage1,instructions,1,52184,0.0-1.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":1661.2000000476837}]",1661.4000000953674,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructions_block2,canvas-button-response,2,69646,0.0-2.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"""",17356.60000014305,1,instructionStim1,1,Clockwise,true,"""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructions_block3,canvas-button-response,3,72109,0.0-3.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"""",2406.9000000953674,0,instructionStim2,0,Counter-clockwise,true,"""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructions_block4,html-slider-response,4,82799,0.0-4.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"""",10688.100000143051,100,"<div id=""message-div""><p>After you have made your clockwise/counter-clockwise choice, <br>you will be asked to rate how confident you are that you were correct in your clockwise/counter-clockwise choice using a slide bar.<br>Please try to use the entire range of the slider bar.<br>For example, feel free to move the slider to the leftmost location if you are extremely uncertain about your choice, and the rightmost location if you are extremely certain.</p></div>","""","""","""",50,"""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructionspage5,instructions,5,89504,0.0-5.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":6702.799999952316}]",6703,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructionspage6,instructions,6,90439,0.0-6.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":934.3999998569489}]",934.5999999046326,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructionspage7,instructions,7,93128,0.0-7.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":2686.7000000476837}]",2686.9000000953674,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,repeat_instructions_conditionalpage7,html-button-response,8,93816,0.0-7.0-1.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"""",687.1000001430511,0,"<div id=""message-div""><p>Please read this carefully. The instructions will be shown again now.</p><p>Click the ""Continue"" button to continue.</p></div>","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
17,2,"""",pre-exp,instructionspage7,instructions,9,96937,0.0-7.1-0.1,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A1FP3SH704X01V,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,M8HQ4,M8HQ4,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,3QHK8ZVMIVJO62VCZADZO5TERHTBL8,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":3119.2999999523163}]",3119.5999999046326,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:39:30",24.4.30.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62",WebKit,Edge,96.0.1054.62,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
