run_id,condition,success,exp_stage,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,conditionmyown,cen_signal_contrast_stim,view_history,rt,response,stimulus,correct_response,correct_response_in_clockwise_or_counterclockwise,correct,slider_start,ctx_signal_contrast,cen_angle_in_degree,cen_signal_contrast_catchStim,confidence,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
21,2,true,pre-exp,fullscreen_starts,fullscreen,0,4270,0.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"""","""","""","""","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructionspage1,instructions,1,6216,0.0-1.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":1943.2999999523163}]",1943.5,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructions_block2,canvas-button-response,2,26076,0.0-2.0-0.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"""",19773.5,1,instructionStim1,1,Clockwise,true,"""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructions_block3,canvas-button-response,3,35080,0.0-3.0-0.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"""",8934.700000047684,0,instructionStim2,0,Counter-clockwise,true,"""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructions_block4,html-slider-response,4,52740,0.0-4.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"""",17658.400000095367,0,"<div id=""message-div""><p>After you have made your clockwise/counter-clockwise choice, <br>you will be asked to rate how confident you are that you were correct in your clockwise/counter-clockwise choice using a slide bar.<br>Please try to use the entire range of the slider bar.<br>For example, feel free to move the slider to the leftmost location if you are extremely uncertain about your choice, and the rightmost location if you are extremely certain.</p></div>","""","""","""",50,"""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructionspage5,instructions,5,55128,0.0-5.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":2386.300000190735}]",2386.5,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,repeat_instructions_conditionalpage5,html-button-response,6,56858,0.0-5.0-1.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"""",1729.2000000476837,0,"<div id=""message-div""><p>Please read this carefully. The instructions will be shown again now.</p><p>Click the ""Continue"" button to continue.</p></div>","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructionspage5,instructions,7,60642,0.0-5.1-0.1,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":3782.899999856949}]",3783.0999999046326,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructionspage6,instructions,8,62592,0.0-6.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":1948.7999999523163}]",1948.9000000953674,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
21,2,"""",pre-exp,instructionspage7,instructions,9,66670,0.0-7.0-0.0,3PKVGQTFJQLSZOM7OKJDU84QFXXYRA,AQMLJYUQCSG22,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,83YL4,83YL4,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,3LYA37P8IZODMWDUEA1Y95GZ2HOBK5,338054,338054,2,0.04,"[{""page_index"":0,""viewing_time"":4077.399999856949}]",4077.5999999046326,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:55:25",76.168.193.216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
